Ann Arbor,734
Battle Creek,269
Bay City,989
Canton,734
Clinton,517
Dearborn,313
Detroit,313
Flint,810
Garden City,515
Grand Rapids,616
Harrison,989
Holland,616
Jackson,601
Lansing,517
Lincoln Park,313
Livonia,734
Madison Heights,947
Midland,432
Mount Pleasant,989
Novi,947
Oak Park,947
Pontiac,947
Port Huron,810
Reading,517
Redford,313
Roseville,586
Royal Oak,947
Saginaw,989
Shelby,980
Southfield,810
Sterling Heights,586
Troy,947
Wakefield,906
Warren,586
Waterford,947
Westland,734
Wyandotte,734
